expression	answer	group	answer_index
1 - 8	-7.0	0	5
9 + 8	17.0	0	5
1 + 7	8.0	0	5
6 / 5	1.2	0	5
7 - 7	0.0	0	5
8 / 6	1.3333333333333333	0	5
2 + 8	10.0	0	5
3 / 3	1.0	0	5
3 - 7	-4.0	0	5
3 * 2	6.0	0	5
5 * 1	5.0	1	12
4 / 3	1.3333333333333333	1	12
9 - 5	4.0	1	12
6 * 6	36.0	1	12
2 - 4	-2.0	1	12
1 - 9	-8.0	1	12
6 + 9	15.0	1	12
4 + 4	8.0	1	12
6 * 3	18.0	1	12
8 - 9	-1.0	1	12
1 / 7	0.1428571428571428	2	18
8 + 9	17.0	2	18
5 * 5	25.0	2	18
4 - 5	-1.0	2	18
2 - 6	-4.0	2	18
1 + 6	7.0	2	18
3 * 9	27.0	2	18
5 / 8	0.625	2	18
9 / 1	9.0	2	18
5 + 9	14.0	2	18
3 - 3	0.0	3	17
4 / 9	0.4444444444444444	3	17
8 - 4	4.0	3	17
2 + 4	6.0	3	17
9 / 8	1.125	3	17
6 + 8	14.0	3	17
2 / 3	0.6666666666666666	3	17
1 + 1	2.0	3	17
9 * 4	36.0	3	17
6 + 1	7.0	3	17
5 / 3	1.6666666666666667	4	9
3 + 7	10.0	4	9
1 + 6	7.0	4	9
4 / 4	1.0	4	9
8 * 3	24.0	4	9
1 * 5	5.0	4	9
7 + 6	13.0	4	9
3 + 6	9.0	4	9
8 / 4	2.0	4	9
6 - 9	-3.0	4	9
8 * 6	48.0	5	16
2 * 5	10.0	5	16
8 / 5	1.6	5	16
5 * 8	40.0	5	16
9 / 3	3.0	5	16
4 - 5	-1.0	5	16
2 - 9	-7.0	5	16
4 / 9	0.4444444444444444	5	16
5 * 7	35.0	5	16
3 / 3	1.0	5	16
4 * 5	20.0	6	15
9 + 2	11.0	6	15
9 / 8	1.125	6	15
8 - 9	-1.0	6	15
7 + 9	16.0	6	15
4 * 2	8.0	6	15
3 + 3	6.0	6	15
3 - 2	1.0	6	15
1 + 6	7.0	6	15
9 / 5	1.8	6	15
9 - 2	7.0	7	14
2 / 2	1.0	7	14
5 - 3	2.0	7	14
1 - 4	-3.0	7	14
7 + 2	9.0	7	14
9 + 1	10.0	7	14
7 + 8	15.0	7	14
1 * 8	8.0	7	14
9 + 1	10.0	7	14
4 - 2	2.0	7	14
2 * 6	12.0	8	19
3 * 6	18.0	8	19
9 + 7	16.0	8	19
6 - 5	1.0	8	19
6 + 2	8.0	8	19
5 - 7	-2.0	8	19
6 + 6	12.0	8	19
8 + 9	17.0	8	19
3 - 8	-5.0	8	19
6 * 3	18.0	8	19
5 + 9	14.0	9	2
6 + 3	9.0	9	2
1 / 6	0.1666666666666666	9	2
4 - 8	-4.0	9	2
9 + 1	10.0	9	2
9 - 1	8.0	9	2
8 - 1	7.0	9	2
3 * 1	3.0	9	2
3 * 6	18.0	9	2
8 / 4	2.0	9	2
2 / 5	0.4	10	19
3 - 8	-5.0	10	19
1 + 1	2.0	10	19
2 / 6	0.3333333333333333	10	19
9 + 7	16.0	10	19
9 - 3	6.0	10	19
3 + 2	5.0	10	19
2 + 7	9.0	10	19
3 - 5	-2.0	10	19
7 + 6	13.0	10	19
9 + 4	13.0	11	3
6 + 8	14.0	11	3
6 * 6	36.0	11	3
8 - 3	5.0	11	3
9 - 9	0.0	11	3
4 * 8	32.0	11	3
7 / 1	7.0	11	3
1 - 7	-6.0	11	3
8 / 4	2.0	11	3
3 * 4	12.0	11	3
2 + 5	7.0	12	6
3 + 3	6.0	12	6
9 * 3	27.0	12	6
9 / 1	9.0	12	6
4 + 4	8.0	12	6
4 / 2	2.0	12	6
4 * 3	12.0	12	6
1 - 4	-3.0	12	6
2 - 1	1.0	12	6
8 / 2	4.0	12	6
5 - 6	-1.0	13	10
7 + 6	13.0	13	10
1 + 3	4.0	13	10
6 / 8	0.75	13	10
4 + 4	8.0	13	10
6 + 1	7.0	13	10
8 * 6	48.0	13	10
4 + 8	12.0	13	10
9 / 7	1.2857142857142858	13	10
3 + 4	7.0	13	10
1 + 6	7.0	14	12
3 * 7	21.0	14	12
6 + 9	15.0	14	12
1 * 6	6.0	14	12
4 / 1	4.0	14	12
4 / 6	0.6666666666666666	14	12
4 * 8	32.0	14	12
4 * 7	28.0	14	12
1 + 9	10.0	14	12
4 / 8	0.5	14	12
1 - 4	-3.0	15	17
2 * 4	8.0	15	17
3 + 9	12.0	15	17
4 - 8	-4.0	15	17
6 - 9	-3.0	15	17
7 - 9	-2.0	15	17
7 / 7	1.0	15	17
4 * 3	12.0	15	17
3 / 5	0.6	15	17
5 - 6	-1.0	15	17
7 - 8	-1.0	16	7
8 + 5	13.0	16	7
9 + 5	14.0	16	7
8 + 5	13.0	16	7
4 / 3	1.3333333333333333	16	7
6 - 2	4.0	16	7
5 - 6	-1.0	16	7
2 - 4	-2.0	16	7
4 - 3	1.0	16	7
7 - 4	3.0	16	7
7 + 2	9.0	17	4
7 * 4	28.0	17	4
9 - 1	8.0	17	4
7 - 2	5.0	17	4
3 * 1	3.0	17	4
9 - 2	7.0	17	4
4 / 8	0.5	17	4
9 + 7	16.0	17	4
7 - 1	6.0	17	4
9 + 3	12.0	17	4
4 + 6	10.0	18	19
7 / 8	0.875	18	19
4 * 3	12.0	18	19
6 + 9	15.0	18	19
5 / 8	0.625	18	19
6 - 8	-2.0	18	19
6 / 3	2.0	18	19
1 / 4	0.25	18	19
2 + 1	3.0	18	19
9 - 8	1.0	18	19
5 * 7	35.0	19	15
3 / 2	1.5	19	15
8 + 7	15.0	19	15
