word_samples
["hemopoietic", "nondiscontinuance", "nonvitreous", "nondiscretionary", "nondiscountable", "nondiscordant", "hussite", "nondiscovery", "wranny", "viceroy"]
["aplotomy", "anemology", "bequest", "bequeathment", "debtorship", "reswell", "ber", "professable", "bequote", "bequirtle"]
["galvanometrically", "bontok", "galvanometry", "galvanoplastical", "galvanoplastic", "pouf", "stomatiferous", "fisnoga", "galvanometrical", "cloud"]
["taxational", "oxycephalous", "tinker", "pined", "tinily", "dafla", "tining", "tininess", "tink", "iridomyrmex"]
["dumpoke", "dumpling", "deliberator", "dumsola", "gynandry", "elaeocarpaceous", "paleogeography", "dumpy", "harpooner", "dun"]
["suomic", "suomi", "suovetaurilia", "sunyie", "livableness", "propurchase", "cheeseparing", "didascalar", "scourings", "sup"]
["acanthocladous", "superingenious", "matra", "bedstock", "bedstead", "bedstaves", "outbeggar", "needily", "bedstand", "bedstaff"]
["orchidotherapy", "mallemaroking", "malleinize", "habergeon", "mallemuck", "curarization", "malleoincudal", "dataria", "prussianization", "malleinization"]
["anisognathous", "periphrase", "priestess", "priestfish", "priesthood", "priestery", "priestianity", "tasty", "outpraise", "cental"]
["indefinitively", "pressible", "zanthoxylum", "ventriloquously", "finickingly", "pressing", "pressful", "pressingly", "pressgang", "hache"]
["mogrebbin", "bicapsular", "intercystic", "prejudicious", "interdebate", "intercutaneous", "interdash", "unison", "spanishly", "interdenominational"]
["sloping", "workshop", "pickthatch", "rottenish", "immitigably", "pickthankness", "pickthank", "pickthankly", "picksomeness", "nongeological"]
["nemichthys", "nemoceran", "tanged", "efflate", "mellitic", "sanguisugous", "nemocerous", "undiscernedly", "nemopanthus", "nemocera"]
["suicidally", "grayish", "tractably", "trichromatic", "unpiped", "unpiteous", "unpirated", "unpiqued", "exponible", "unpitched"]
["berline", "acupress", "quantivalent", "berliner", "amylin", "humanely", "berlinite", "icerya", "berm", "berlinize"]
["peastick", "odyssean", "caravaneer", "phosphorical", "peastone", "peat", "paresthetic", "peasticking", "pineweed", "peasy"]
["archiblastula", "zonta", "mononuclear", "mononucleosis", "mononomian", "semihonor", "mononucleated", "gibbi", "monont", "rabbitweed"]
["zooecia", "backcast", "assiduousness", "assiduity", "pseudocarbamide", "amass", "assientist", "tubulibranchiate", "assiduous", "assiduously"]
["microrefractometer", "sophistry", "sophisticism", "boulangism", "hydremic", "nonpreparation", "sophisticative", "unentangled", "sophisticator", "sophistress"]
["unnameability", "basophilous", "basophilia", "mygale", "begeck", "lactarius", "basophobia", "vomitwort", "basophile", "basophilic"]
["counterwrite", "counterworker", "counterword", "counterwork", "freemasonism", "counterwitness", "trimethylamine", "dyaster", "petrified", "stre"]
["paratitles", "misname", "cartesian", "campcraft", "paratoloid", "docity", "paratoluic", "parathyroprivic", "outmalaprop", "paratitla"]
["shopkeeping", "amazingly", "amazonian", "supperless", "ungarter", "amazona", "amazing", "allantoidean", "amazon", "gestical"]
["runboard", "runchweed", "mesopleuron", "toxicology", "runback", "runby", "winzeman", "eelcatcher", "madrigalist", "runch"]
["romanite", "champignon", "nondetrimental", "champertous", "reinclusion", "champerty", "unhigh", "championess", "champion", "waringin"]
["trolldom", "troker", "lunacy", "abarticulation", "verticillaster", "chacona", "troll", "trolleite", "ctenolium", "troke"]
